Group,Subject,Target,File,fs,thr,active_ratio,active_seconds
Healthy,1,1,Target 1.csv,1923.0769230774633,7.875164335784439e-08,0.9779407029906078,55.28067999998447
Healthy,1,1,Target 1.csv,1923.0769230774633,7.875164335784439e-08,0.9779407029906078,55.28067999998447
Healthy,1,2,Target 2.csv,1923.0769230774633,9.396083852889208e-08,0.9769932019097206,55.22711999998449
Healthy,1,2,Target 2.csv,1923.0769230774633,9.396083852889208e-08,0.9769932019097206,55.22711999998449
Healthy,1,3,Target 3.csv,1923.0769230774633,3.0633012280904144e-07,0.9774715519699744,55.25415999998448
Healthy,1,3,Target 3.csv,1923.0769230774633,3.0633012280904144e-07,0.9774715519699744,55.25415999998448
Healthy,1,4,Target 4.csv,1923.0769230774633,7.607579276346886e-08,0.977287571177569,55.24375999998448
Healthy,1,4,Target 4.csv,1923.0769230774633,7.607579276346886e-08,0.977287571177569,55.24375999998448
Healthy,1,5,Target 5.csv,1923.0769230774633,1.4368820789590276e-06,0.9780234943471902,55.28535999998447
Healthy,1,5,Target 5.csv,1923.0769230774633,1.4368820789590276e-06,0.9780234943471902,55.28535999998447
Healthy,1,6,Target 6.csv,1923.0769230774633,7.241193679850364e-08,0.9770483961474422,55.230239999984484
Healthy,1,6,Target 6.csv,1923.0769230774633,7.241193679850364e-08,0.9770483961474422,55.230239999984484
Healthy,1,7,Target 7.csv,1923.0769230774633,1.4757429242197735e-06,0.9772967702171893,55.24427999998448
Healthy,1,7,Target 7.csv,1923.0769230774633,1.4757429242197735e-06,0.9772967702171893,55.24427999998448
Healthy,1,8,Target 8.csv,1923.0769230774633,9.177840921554614e-07,0.9759905065911119,55.1704399999845
Healthy,1,8,Target 8.csv,1923.0769230774633,9.177840921554614e-07,0.9759905065911119,55.1704399999845
Healthy,1,9,Target 9.csv,1923.0769230774633,1.594369745673543e-07,0.9781246837830131,55.29107999998447
Healthy,1,9,Target 9.csv,1923.0769230774633,1.594369745673543e-07,0.9781246837830131,55.29107999998447
Healthy,10,1,Target 1.csv,1923.0769230774633,1.3565793161631803e-06,0.9764228614532643,55.194879999984494
Healthy,10,1,Target 1.csv,1923.0769230774633,1.3565793161631803e-06,0.9764228614532643,55.194879999984494
Healthy,10,2,Target 2.csv,1923.0769230774633,8.799633586612052e-08,0.9777475231585823,55.26975999998447
Healthy,10,2,Target 2.csv,1923.0769230774633,8.799633586612052e-08,0.9777475231585823,55.26975999998447
Healthy,10,3,Target 3.csv,1923.0769230774633,1.6028357610487026e-06,0.9756501421251621,55.151199999984506
Healthy,10,3,Target 3.csv,1923.0769230774633,1.6028357610487026e-06,0.9756501421251621,55.151199999984506
Healthy,10,4,Target 4.csv,1923.0769230774633,2.704940508649756e-07,0.9761008950665551,55.1766799999845
Healthy,10,4,Target 4.csv,1923.0769230774633,2.704940508649756e-07,0.9761008950665551,55.1766799999845
Healthy,10,5,Target 5.csv,1923.0769230774633,1.3627783250204945e-06,0.9756593411647824,55.15171999998451
Healthy,10,5,Target 5.csv,1923.0769230774633,1.3627783250204945e-06,0.9756593411647824,55.15171999998451
Healthy,10,6,Target 6.csv,1923.0769230774633,8.576804340044118e-08,0.9782258732188359,55.296799999984465
Healthy,10,6,Target 6.csv,1923.0769230774633,8.576804340044118e-08,0.9782258732188359,55.296799999984465
Healthy,10,7,Target 7.csv,1923.0769230774633,7.817578296991136e-08,0.97871342231871,55.32435999998446
Healthy,10,7,Target 7.csv,1923.0769230774633,7.817578296991136e-08,0.97871342231871,55.32435999998446
Healthy,10,8,Target 8.csv,1923.0769230774633,2.7695585699127304e-07,0.9769472067116193,55.22451999998449
Healthy,10,8,Target 8.csv,1923.0769230774633,2.7695585699127304e-07,0.9769472067116193,55.22451999998449
Healthy,10,9,Target 9.csv,1923.0769230774633,1.5706180526409803e-07,0.978750218477191,55.32643999998446
Healthy,10,9,Target 9.csv,1923.0769230774633,1.5706180526409803e-07,0.978750218477191,55.32643999998446
Healthy,11,1,Target 1.csv,1923.0769230774633,7.696962708140146e-08,0.9792193694978244,55.35295999998445
Healthy,11,1,Target 1.csv,1923.0769230774633,7.696962708140146e-08,0.9792193694978244,55.35295999998445
Healthy,11,2,Target 2.csv,1923.0769230774633,8.083279773771765e-07,0.9774715519699744,55.25415999998448
Healthy,11,2,Target 2.csv,1923.0769230774633,8.083279773771765e-07,0.9774715519699744,55.25415999998448
Healthy,11,3,Target 3.csv,1923.0769230774633,1.4033925756117361e-06,0.9761468902646564,55.1792799999845
Healthy,11,3,Target 3.csv,1923.0769230774633,1.4033925756117361e-06,0.9761468902646564,55.1792799999845
Healthy,11,4,Target 4.csv,1923.0769230774633,8.084845700106229e-08,0.9787686165564315,55.327479999984455
Healthy,11,4,Target 4.csv,1923.0769230774633,8.084845700106229e-08,0.9787686165564315,55.327479999984455
Healthy,11,5,Target 5.csv,1923.0769230774633,1.2198976586580977e-06,0.9770851923059233,55.23231999998448
Healthy,11,5,Target 5.csv,1923.0769230774633,1.2198976586580977e-06,0.9770851923059233,55.23231999998448
Healthy,11,6,Target 6.csv,1923.0769230774633,7.694506312671467e-08,0.978051091466051,55.28691999998447
Healthy,11,6,Target 6.csv,1923.0769230774633,7.694506312671467e-08,0.978051091466051,55.28691999998447
Healthy,11,7,Target 7.csv,1923.0769230774633,9.043491674117307e-07,0.9769932019097206,55.22711999998449
Healthy,11,7,Target 7.csv,1923.0769230774633,9.043491674117307e-07,0.9769932019097206,55.22711999998449
Healthy,11,8,Target 8.csv,1923.0769230774633,1.4204098385220928e-07,0.9767816239984546,55.215159999984486
Healthy,11,8,Target 8.csv,1923.0769230774633,1.4204098385220928e-07,0.9767816239984546,55.215159999984486
Healthy,11,9,Target 9.csv,1923.0769230774633,1.6971641672688774e-06,0.9765056528098467,55.199559999984494
Healthy,11,9,Target 9.csv,1923.0769230774633,1.6971641672688774e-06,0.9765056528098467,55.199559999984494
Healthy,12,1,Target 1.csv,1923.0769230774633,1.5018525135478988e-06,0.9761100941061753,55.1771999999845
